stage,scene,cell,arm,rep,hit,cost,target,target_seconds,native_seconds,score_init,outers,rejects,matvecs,pcg_per_outer,retry_fraction_native,max_touched_fraction,source
compatibility,dubrovnik-88,dubrovnik-88,original,0,False,358946.24165885185,0,,0.452515,30562787.847235743,33,4,131,,,0,evidence/compatibility/dubrovnik-88-original-0
compatibility,dubrovnik-88,dubrovnik-88,off,0,False,358945.5678887177,0,,0.417451,30562787.847235747,33,1,125,2.757575757575758,0.012531897156792053,0,evidence/compatibility/dubrovnik-88-off-0
compatibility,dubrovnik-88,dubrovnik-88,off,1,False,358946.35316428484,0,,0.429731,30562787.84723574,33,4,131,2.8484848484848486,0.04868073050350103,0,evidence/compatibility/dubrovnik-88-off-1
compatibility,dubrovnik-88,dubrovnik-88,original,1,False,358944.93931941385,0,,0.413341,30562787.847235747,33,1,125,,,0,evidence/compatibility/dubrovnik-88-original-1
compatibility,dubrovnik-88,dubrovnik-88,original,2,False,358945.6641705136,0,,0.43702,30562787.847235747,33,1,125,,,0,evidence/compatibility/dubrovnik-88-original-2
compatibility,dubrovnik-88,dubrovnik-88,off,2,False,358946.79839112627,0,,0.430124,30562787.84723574,33,4,131,2.8484848484848486,0.04867759064827817,0,evidence/compatibility/dubrovnik-88-off-2
locality,ladybug-539,ladybug-539-1.01,off,0,True,165514.08261311482,165617.73918321263,0.0686,0.085869,5535080.118240733,6,0,42,6.0,0.0,0,evidence/locality/ladybug-539-1.01-off-0
locality,ladybug-539,ladybug-539-1.01,cap30,0,True,165589.95758178207,165617.73918321263,0.0942,0.111918,5535080.118240733,10,0,41,3.1,0.0,0.016697588126159554,evidence/locality/ladybug-539-1.01-cap30-0
locality,ladybug-539,ladybug-539-1.01,intrinsic,0,True,165513.17021249657,165617.73918321263,0.1109,0.128374,5535080.118240731,7,0,56,7.0,0.0,0.0055658627087198514,evidence/locality/ladybug-539-1.01-intrinsic-0
locality,ladybug-539,ladybug-539-1.01,intrinsic,1,True,165513.04858776226,165617.73918321263,0.111,0.129941,5535080.118240731,7,0,56,7.0,0.0,0.0055658627087198514,evidence/locality/ladybug-539-1.01-intrinsic-1
locality,ladybug-539,ladybug-539-1.01,cap30,1,True,165589.9575817811,165617.73918321263,0.085,0.102401,5535080.118240732,10,0,41,3.1,0.0,0.016697588126159554,evidence/locality/ladybug-539-1.01-cap30-1
locality,ladybug-539,ladybug-539-1.01,off,1,True,165514.08261311796,165617.73918321263,0.0619,0.079096,5535080.118240731,6,0,42,6.0,0.0,0,evidence/locality/ladybug-539-1.01-off-1
locality,ladybug-539,ladybug-539-1.01,off,2,True,165514.08261312585,165617.73918321263,0.0622,0.080325,5535080.118240732,6,0,42,6.0,0.0,0,evidence/locality/ladybug-539-1.01-off-2
locality,ladybug-539,ladybug-539-1.01,cap30,2,True,165589.9521291572,165617.73918321263,0.0939,0.113697,5535080.118240732,10,0,41,3.1,0.0,0.016697588126159554,evidence/locality/ladybug-539-1.01-cap30-2
locality,ladybug-539,ladybug-539-1.01,intrinsic,2,True,165512.9928916705,165617.73918321263,0.1104,0.127948,5535080.118240731,7,0,56,7.0,0.0,0.0055658627087198514,evidence/locality/ladybug-539-1.01-intrinsic-2
tails,venice-52,venice-52,off,0,False,247536.95864837748,243740.27,,1.354276,11152062.772762472,131,8,359,1.6793893129770991,0.0350819862420954,0,evidence/tails/venice-52-off-0
tails,venice-52,venice-52,opening,0,True,243382.00562337326,243740.27,0.3118,0.329942,11152062.77276247,21,1,159,6.523809523809524,0.030307432821526203,0,evidence/tails/venice-52-opening-0
tails,venice-52,venice-52,cap30,0,False,249560.1961930324,243740.27,,0.954182,11152062.772762472,90,3,264,1.9,0.03259686936035264,0.057692307692307696,evidence/tails/venice-52-cap30-0
tails,venice-52,venice-52,intrinsic,0,False,497951.6246011847,243740.27,,1.656528,11152062.77276247,32,0,1190,36.1875,0.02263546888431708,0.38461538461538464,evidence/tails/venice-52-intrinsic-0
tails,final-3068,final-3068,off,0,False,1950059.6830723335,1744796.9841897595,,3.006267,90993342.02434024,47,14,150,1.8936170212765957,0.18759754572697637,0,evidence/tails/final-3068-off-0
